1,Harvard
2,Freshman
3,Parents' Weekend
4,Women's Strike
5,strike
6,Bowling
7,scallion pancakes
8,Men
9,emotional voids
10,The Kong
11,oh fuck
12,donald trump
13,Barron Trump
14,It was the butler
15,dean
16,deans' list
17,list of deans
18,beans
19,high honor
